hotel_id,name,address,link
100397536791106,Hanoi Apple,"15 A Hàng Chiếu, Hàng Chiếu, Đồng Xuân, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Apple-Hotel-Hanoi/100397536791106
100607916712445,Hai Au,"576 Cua Dai, Hội An",https://www.facebook.com/pages/Hai-Au-Hotel-Hoi-An/100607916712445
1011425698944887,Khách sạn 24 Kim Mã,"No 65 Kim Ma street, Ba Dinh district, Hanoi, Hà Nội, Vietnam",https://www.facebook.com/pages/Kh%C3%A1ch-S%E1%BA%A1n-24-Kim-M%C3%A3/1011425698944887
101722066594591,Khách sạn Bodega,"133 Hàng Bông, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Bodega-Hotel-Hanoi/101722066594591
1017426538344910,Green Mango Hanoi,"18, Hàng Quạt, Q.Hoàn Kiếm, 18 Hàng Quạt, Hang Gai ward, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Green-Mango-Hanoi-1017426538344910/
101780179935496,Khách sạn Eternity,"32 Yết Kiêu, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/EternityHotel32YetKieuHaNoi/
102598133184328,Khách sạn New Moon,"126 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/New-Moon-Hotel-102598133184328/
1031480000248186,Hostel Funky Jungle,"73 Mã Mây, Hàng Buồm, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/FunkyJungleHostel/
104988402951297,Hanoi Rose,"59B Đường Thành, Cửa Đông, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Hanoi-Rose-Hotel/104988402951297
105713669505240,Aloha Hotel,"2150 Roxas Boulevard, Cor. Quirino Ave.",https://www.facebook.com/alohahotelmanila/
106185126212276,Church Boutique Hang Ca,"21 Hàng Cá, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Church-Boutique-Hotel-Hang-Ca/106185126212276
1070723119658555,Gingergrass Homestay,"Tổ 1, thôn Thanh Nhì,, tp. Hội An, Quảng Nam 560000, Vietnam",https://web.facebook.com/Glocal-Beachshotel_ide-Hostel-1070723119658555/
1071725402860921,City View,"ng Bồ Hoàn Kiếm Hà فيتنام، 7 Cửa Đông, Hàng Bồ, Hanoi, Vietnam",https://www.facebook.com/hanoicityviewhotel/
107235939358697,Fraser Suites Hanoi,"51 Xuân Diệu, Quảng An, Tây Hồ, Hà Nội, Vietnam",https://web.facebook.com/pages/Fraser-Suites-Hanoi/107235939358697
107466496045933,Caraven,"208 Lý Tự Trọng, Thanh Bình, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Caraven-Hotel/107466496045933
108848622539178,Hanoi Tirant,"38 Gia Ngư, Hoàn Kiếm, Hà Nội 844, Vietnam",https://www.facebook.com/pages/Tirant-Hotel-Hanoi-Vietnam/108848622539178
109924292681661,Gold  Iii,"24 Hàng Mành, Hoàn Kiếm, Hà Nội, Vietnam",https://web.facebook.com/goldhoteliihotel_idanang/
110449969042552,Khách sạn Luminous Viet,"79 Hàng Bạc, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/luminousviet/
1110145009064097,Khách sạn Boutique MK Premier,"72-74 Hàng Buồm, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/MK-Premier-Boutique-Hotel-1110145009064097/
111455759192424,Blan Villa,"180 Nguyễn Phúc Tần, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/BLan-Villa-111455759192424/
1148898871791499,Hanoi Chic Boutique,"51, 0 Bát Sứ, Hoàn Kiếm, Hà Nội 000000, Vietnam",https://www.facebook.com/chicboutiquehotelhanoi/
115027925337882,Hanoi Moment 2,"42 Hàng Cót, Hà Nội, Vietnam",https://www.facebook.com/pages/Hanoi-Moment-Hotel-II/115027925337882
116431445169619,Khách sạn Calypso Grand,"27 Cửa Đông, Hoàn Kiếm, Hà Nội 10000, Vietnam",https://www.facebook.com/CalypsoGrandHotel/
117843318367122,Apricot,"136 Hàng Trống, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/apricothotel/
120125374732540,Crowne Plaza West Hà Nội,"36 Le Duc Tho Street, My Dinh Ward, Nam Tu Liem District, Hanoi, 000000, Vietnam",https://www.facebook.com/pages/Crowne-Plaza-West-Hanoi/120125374732540&ref=br_tf
120190574818017,Ancient House Resort & Spa,"377 Cửa Đại, Cẩm Châu, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/ancienthouseresort/
120230848080105,Khách sạn Hanoi Central Star,"27 Phủ Doãn, Hàng Trống, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Central-Star-Hotel-120230848080105/
120477108108421,Hanoi Old Town,"95 Hàng Chiếu, Đồng Xuân, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Old-Town-Hotel-120477108108421/
122605641216622,Green House Villa,"P.o Box 176-80109, Mombasa, Kenya",https://www.facebook.com/Green-House-Villa-122605641216622/
1236156129733715,Hadana Boutique  Da Nang,"Phạm Văn Đồng, An Hải Bắc, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/hadanaboutique/
124098690938,Khách sạn Hanoi Serenity,"17 Nguyễn Văn Tố, Cửa Đông, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Serenity-Hotel-124098690938/
124823087674647,Khách sạn Gia Bảo Grand,"23 Lò Sũ, Lý Thái Tổ, Hoàn Kiếm, Hà Nội 1000, Vietnam",https://www.facebook.com/pages/Gia-Bao-Grand-Hotel/124823087674647
125187904254346,Golden Sand Resort & Spa Hoi An,"Batu Feringgi Beach, Pulau Pinang, 11100, Malaysia",https://web.facebook.com/GoldenSandHoiAnVietNam/
125960300828623,Asean Halong,"Bãi Cháy, tp. Hạ Long, Quảng Ninh, Vietnam",https://www.facebook.com/pages/Asean-Ha-Long-Hotel/125960300828623
126750284097708,Dong A Hotel,142 đường Hoàng văn thụ thành phố Thái Nguyên,https://www.facebook.com/pages/%C4%90%C3%B4ng-%C3%81-Hotel/126750284097708
126883330726174,Khách sạn Prince II,"42B Hàng Giấy, Hang Buom ward, Hoàn Kiếm, Hà Nội 70000, Vietnam",https://www.facebook.com/prince2hotel/
129211230546960,Golf Hoian,"187 Lý Thường Kiệt, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/indochinehotelhoian/
129923493826574,Camry,"11 Tố Hữu, Hòa Cường Nam, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Camry-Hotel/129923493826574
130538853765270,Bao Quang Hotel,"137 Nguyễn Văn Thoại, An Đông Hải, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/Kh%C3%A1ch-S%E1%BA%A1n-B%E1%BA%A3o-Quang-%C4%90%C3%A0-N%E1%BA%B5ng-130538853765270/
130986173710632,Hoai Sang,"B33 Phạm Văn Đồng, An Hải Bắc, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Thanh-Hoai-Hotel/130986173710632
131612670518879,Da Nang Villa,"Son Tra - Dien Ngoc Coastal Street, Hoa Hai Ward, Ngu Hanh Son District, Câu Hà, QM, Vietnam",https://www.facebook.com/danaresort/
131762750235333,Golden Key,"82 Quán Sứ, Trần Hưng Đạo, Hoàn Kiếm Trần Hưng Đạo Hoàn Kiếm Hà Nội, Вьетнам, Vietnam",https://web.facebook.com/pages/golden-key-Hotel/131762750235333
132386763492259,Danang Rivershotel_ide,"A 30, Tran Hung Dao Street, Son Tra District, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Danang-Rivershotel_ide-Hotel/132386763492259
133247926884581,Khách sạn Hanoi 3B,99 Ma May Hoan Kiem,https://www.facebook.com/hanoi3bhotel/
133963350115334,Aranya Hotel & Travel,128 Hang Bong,https://www.facebook.com/AranyaHN/
135121083347092,Khách sạn Paradise Boutique,"62 Hàng Bạc, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/paradiseboutiquehotel/
135199530219803,Khách sạn Huyền Châu,"28 Yên Phụ, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",https://www.facebook.com/pages/Huyen-Chau-Hotel/135199530219803
135324866614935,Brilliant,"162-164 Bạch Đằng, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/BrilliantHotel/
137450959610835,Da Nang Port,"20 Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Da-Nang-Port/137450959610835
1379083872319465,Discovery,"22 Lương Ngọc Quyến, Hàng Buồm, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/DiscoveryHotelCrissier/
138690606232514,Ha Long Eden,"1 Hạ Long, Bãi Cháy, Ha Long, Quảng Ninh, Vietnam",https://www.facebook.com/pages/Ha-Long-Eden-Hotel/138690606232514
138826162963301,Doan An Dieu Duong 298,"ĐT44A, Long Hải, Long Điền, Bà Rịa - Vũng Tàu, Vietnam",https://www.facebook.com/pages/%C4%90o%C3%A0n-An-%C4%90i%E1%BB%81u-D%C6%B0%E1%BB%A1ng-298/138826162963301
1401600013412628,Hà Nội Delight,"93 Đội Cấn, Ba Dinh District, Hà Nội, Vietnam",https://www.facebook.com/Khach-san-ha-noi-delight-1401600013412628/
1402053123339962,Galaxy Premium Cruises,"22 Lý Nam Đế, Ba Dinh District, Hà Nội, Vietnam",https://web.facebook.com/galaxypremiumcruises/
1402376883388507,Dan Oasis,"19 Láng Hạ, Ba Đình, Hà Nội, Vietnam",https://www.facebook.com/danoasishotel/
1402846303280167,Hanoi La Rosa,"36 Nguyễn Khuyến, Văn Miếu",https://www.facebook.com/pages/La-Rosa-Hotel/1402846303280167
1408835689351854,Hawaii  Da Nang,"Lô 06-07 H2, Phạm Văn Đồng, An Hải Bắc, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/Tienthinhhoteldanang/
1408857476042865,Duc Anh,"420 Nguyễn Thị Minh Khai, Phường 5, Quận 3, TP Hồ Chí Minh, Vietnam",https://www.facebook.com/pages/%C4%90%E1%BB%A9c-Anh-Hotel-%C4%90%C3%A0-N%E1%BA%B5ng/1408857476042865
1417201508570124,Hanoi Rock Hostel,"56 Hang Duong, Hà Nội, HANOI CITY, Vietnam",https://www.facebook.com/hanoirockshostel1/
1417576401790730,Khách sạn Morning Star,Số 10 - Hàng Hành - Q. Hoàn Kiếm,https://www.facebook.com/morningstarhotel.com.vn/
1421838558069486,Ha An,"06-08 Phan Bội Châu, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/haanhotel.hoian/
142235272647096,Hanoi Legacy Hàng Bạc,"108 Hàng Bạc, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Hanoi-Legacy-Hotel-Hang-Bac/142235272647096
1423916441214189,Hanoi Old Centre,"19 Hàng Hành, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/oldcentrehotelhanoi/
1424009947843059,Frangipani Boutique  Da Nang,"Nguyễn Hữu Thông, Sơn Trà, Đà Nẵng, Vietnam",https://web.facebook.com/Frangipani-Boutique-Hotel-1424009947843059/
1426574537561166,Hanoi Ciao,"08 Tho Xuong Alley - Au Trieu, Hà Nội, Vietnam",https://www.facebook.com/hanoiciaohotel/
1427514047480765,Conifer,Pinophyta,https://www.facebook.com/Conifer-Hotel-Travel-1427514047480765/
1429063757317574,Au Co Cruise,"24 Au Trieu Street, Hoan Kiem District, Hanoi, Vietnam",https://www.facebook.com/Au-Co-Cruise-1429063757317574/
1429873653894549,Green Bay,"P.O. Box 18, Koror, Palau",https://www.facebook.com/Green-Bay-Hotel-1429873653894549/
1430101293925015,Khách sạn Hanoi Chic,"18 Hàng Hòm, Hàng Gai, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/hanoichichotel/
1430179450611070,Khách sạn HP Home,"125 Lô số TT-1 Đường Hàm Nghi Kéo dài, TP, Từ Liêm, Hà Nội, Vietnam",https://www.facebook.com/HPHomehotel/
1431622807089649,Hanoi Samotel,"684 Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Vietnam",https://www.facebook.com/HaNoi-Samotel-Hotel-1431622807089649/
1436297906653392,Hai Nam,"55 Duong Thanh Str., Hoan Kiem Dist., Hanoi, Vietnam",https://www.facebook.com/pages/Nam-Hai-Hotel/1436297906653392
143738609018931,Hanoi Pacific,"83B Ly Thuong Kiet, Hoan Kiem",https://www.facebook.com/pages/Pacific-Place/143738609018931
143765055817775,Golden Sun Palace,"1678 N Milpitas Blvd, Milpitas, CA 95035, United States",https://www.facebook.com/pages/Golden-Sun-Palace-Hotel-Hanoi/143765055817775
1437747696466053,Dreams,"Đông Thái, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/dreamshotelmaldives/
1437932199754399,Khách sạn Mahotel_idza,"52 Yên Phụ, Hà Nội, Vietnam",https://www.facebook.com/mahotel_idza.hotel/
1439591133005014,Khách sạn Saki,"28 Dịch Vọng Hậu, làng Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam",https://www.facebook.com/sakihotel/
144118052297565,Blue River Motel,"03 Duong Khue, My An Ward, Han River, Da Nang, Vietnam, Vietnam",https://www.facebook.com/pages/Blue-River-Motel/144118052297565
1443154392659354,Mỹ Hoa Hotel,"49 trương chí cương, Hòa Vang",https://www.facebook.com/pages/M%E1%BB%B9-Hoa-Hotel/1443154392659354
144339279039329,Binh Minh,"36, Nguyen Tri Phuong Street, Hue City, Thua Thien Hue Province, Vietnam",https://www.facebook.com/pages/Kh%C3%A1ch-S%E1%BA%A1n-B%C3%ACnh-Minh-H%C3%A0-N%E1%BB%99i/144339279039329
1444409855808308,Khách sạn La Belle Vie,"105 Nguyễn Trường Tộ, Ba Dinh District, Hà Nội 1000, Vietnam",https://www.facebook.com/La-Belle-Vie-1444409855808308/
1446389425666881,Avatar,"Lô 120 An Thượng 2, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",https://www.facebook.com/Avatar-Danang-Hotel-1446389425666881/
144823785656129,Hoi An Green Field Villas,"423 Cửa Đại, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/GreenFieldHotelVillas/
144825518925111,Khách sạn Blue Moon,"4 Phan Bội Châu, 1, tp. Đà Lạt, Lâm Đồng 61000, Vietnam",https://www.facebook.com/pages/Blue-Moon-Hotel/144825518925111
144840492244832,Cua Dai Beach,"Phuoc Hai, Cua Dai Ward, tp. Hội An, 84510, Vietnam",https://www.facebook.com/pages/Cua-Dai-Beach-Hoi-An-Vietnam/144840492244832
1452357201686673,East West villas,"294, Cửa Đại, Cẩm Châu, tp. Hội An, Quảng Nam 564070, Vietnam",https://www.facebook.com/eastwestvillashoian/
145402922137228,Chance,"No. 163號, Jianguo Rd, Central District, Taichung City, Taiwan 400",https://www.facebook.com/Hotel.Chance.Palace.Sri.Lanka/
1454144494900698,City Bay Palace,"156 Le Thanh Tong Street, Ha Long, Quảng Ninh, Vietnam",https://www.facebook.com/citybaypalace/
1457297761177651,Garden Bay Cruise,"Phan Chu Trinh, Bãi Cháy, tp. Hạ Long, Vietnam",https://web.facebook.com/GardenBayCruise/
1458695211054909,Green Tea Homestay,"66 Trần Quang Khải, Cẩm Châu, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/pages/Green-Tea-Homestay-Hoi-An/1458695211054909
1462437644022617,Green  Hai Phong,"738 Nguyễn Văn Linh, Niệm Nghĩa, Lê Chân, Hải Phòng, Vietnam",https://www.facebook.com/pages/Green-Hotel-H%E1%BA%A3i-Ph%C3%B2ng/1462437644022617
146373752131063,Hanoi Central Hotel,36 Dinh Liet Hoan Kiem Ha Noi,https://www.facebook.com/pages/Hanoi-Central-Hotel/146373752131063
146710708835758,Hanoi Holhotel_iday Silver,"9 Ngõ Huyện, Hoàn Kiếm, Hà Nội ., Vietnam",https://www.facebook.com/Holhotel_iday-silver-hotell-146710708835758/
146840172053796,Golden Gate 1 Hotel Da Nang,"69 Lê Hồng Phong, Đà Nẵng, Vietnam",https://web.facebook.com/pages/Golden-Gate-Hotel/146840172053796
1470426779871002,Khách sạn Holhotel_iday Diamond,"5 Nguyễn Siêu, Hàng Buồm, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Holhotel_iday-Diamond-Hotel-1470426779871002/
1470515046537744,Joy Hoi An Homestay,"77C Nguyễn Duy Hiệu, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/joyhoianhomestay/
147558308773077,Guest House - Bon Bon,"C23 Phan Van Chanh, Huế",https://www.facebook.com/pages/Guest-House-Bon-Bon/147558308773077
147611895600078,Halong Happy,"25, Anh Đào, tp. Hạ Long, Quảng Ninh, Vietnam",https://www.facebook.com/HalongHappyhostel/
147680342090458,Khách sạn Camel City,"Ngõ Đào Duy Từ, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Camel-City-Hotel-in-Hanoi-Old-Quarter-147680342090458/
1479410105631173,Atrium Hanoi,"32 DAO DUY TU street, Hoan Kiem Dist., Hanoi, 32 Đào Duy Từ, Hàng Buồm, Hoàn Kiếm, Hà Nội 10000, Vietnam",https://www.facebook.com/AtriumHanoiHotel/
148335701939910,Dong Khanh Hoi An,"308 Nguyễn Duy Hiệu, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/pages/Dong-Khanh-Hotel/148335701939910
148592598530893,Khách sạn Silk Path,"195 -199, Hàng bông, Hàng Bông, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/SilkPath/
1486141631617711,Khách sạn Silk Queen,"100 Hàng Gai, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/silkqueenhotel/
148799055228743,Green Hotel,"Số 30, Nguyễn Văn Ngọc, Ba Đình , Hà Nội",https://www.facebook.com/pages/Green-Hotel/148799055228743
1488754444722971,Khách sạn Blue Hanoi Inn,"12 Chân Cầm, Hàng Trống, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/bluehanoiinnhotel/
1491637047715448,Ba Be Lake View Homestay,"ĐT254, Nam Mẫu, Ba Bể, Bắc Kạn, Vietnam",https://www.facebook.com/babelakeview/
149276268547731,Hoang Minh Chau 3,"Đường Ne8, Bến Cát, Bình Dương, Vietnam",https://www.facebook.com/pages/Hoang-Minh-Chau-Hotel/149276268547731
1494626907472131,Essence Palace Hotel,"29, 27 Gia Ngư, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Essence-Palace-Hotel/1494626907472131
1495601260767666,Hanoi Lotus Boutique,"SHàng Bông,, 2 Hội Vũ, SHàng Bông, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Lotus-Boutique-Hotel-1495601260767666/
1498973933691042,Hanoi Backpackers Old Quarter,"185 Lò Đúc, Hà Nội, Vietnam",https://www.facebook.com/HanoiBackpackers/
1502218643346817,Khách sạn Eclipse Legend,"36 Hàng Vôi, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Eclipse-Legend-Hotel-1502218643346817/
1505348866459184,Hanoi Zesty Hotel,"20 Hàng Cân, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Zesty-hotel-1505348866459184/
1510039339289192,Heritage Hoi An Homestay,"62 Dao Duy Tu,Hoi An, Quang Nam-Da Nang, Vietnam",https://www.facebook.com/heritagehoianhomestay/
151018308354165,Hoi An Garden Villas,"Cẩm Châu, tp. Hội An, Quang Nam Province, Vietnam",https://www.facebook.com/pages/Hoi-An-Garden-Villas/151018308354165
151198758289325,Khách sạn Elite Hà Nội,"10/50 Ngõ Đào Duy Từ, Hàng Buồm, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Hanoi-Elite-Hotel/151198758289325
1513021542254541,Gieng Ngoc,"Cat Ba National Park, Cát Hải, Hải Phòng, Vietnam",https://web.facebook.com/giengngochotelcatba/
151462301571537,Hanoi Elegance Ruby,"3 Yên Thái, Hàng Gai, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Hanoi-Elegance-Ruby-151462301571537/
1515742982001621,Capsule Vietnam,"60 Ngo Huyen, Hà Nội, HANOI CITY 110211, Vietnam",https://www.facebook.com/capsulevietnam/
1517887281761033,Khách sạn Bamboo,"32 Hang Be, Ha Noi",https://www.facebook.com/bamboohotelhanoi/
1525024751057588,Khách sạn Golden Orchhotel_id,"34 Hàng Tre, Lý Thái Tổ, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/goldenorchhotel_idhotel/
1532170243748316,Khách sạn La Selva Hà Nội,"57 Lò Sũ, Lý Thái Tổ, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/hanoilaselvahotel/
1533464686903010,Green Coco Homestay,"113, Nguyễn Trường Tộ, Sơn Phong, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/GreenCoCo.Homestay/
153742338002382,H81,"71 Jalan Sultan, Singapo",https://www.facebook.com/H81Heritage/
153930936150,Furama Resort Danang,"Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Vietnam",https://web.facebook.com/furamaresort/
153977564805074,Hanoi Glance,"48 Bát Sứ, Hàng Bồ, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/hanoiglancehotel/
154117101421891,Authentic Hanoi,"13 Lý Thái Tổ, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/pages/Authentic-Hanoi-Hotel/154117101421891
154417887804,Golden Dragon,"88 R., 78 R. de Malaca, Macau",https://web.facebook.com/GoldenDragonHotel/
155155304551627,Khách sạn Golden Land,"31 Hàng Mành, Hàng Gai, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/Golden-Land-Hotel-Hanoi-155155304551627/
155415196088,Intercontinental Hanoi Westlake,"1a Nghi Tam, Tay Ho, Hà Nội, 000000, Vietnam",https://www.facebook.com/intercontinentalhanoiwestlake/
1560190850934444,Khách sạn Dragon Airport,"T2, Việt Nam, Nhà ga T1, Noi Bai International Airport, Sóc Sơn, Hà Nội, Vietnam",https://www.facebook.com/dragonairporthotel/
1560882577459623,https://www.facebook.com/edenhoianhomestay/,"487 Cua Dai Street, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/edenhoianhomestay/
